question,option1,option2,option3,option4,answer,image,explanation
A 45-year-old man presents with crushing chest pain radiating to his left arm. ECG shows ST elevation in V1-V4. What is the most likely diagnosis?,Inferior MI,Lateral MI,Anterior MI,Posterior MI,Anterior MI,https://raw.githubusercontent.com/saadancode/med-quiz/main/image_2025-10-07_194233801.png,ST elevation in V1–V4 indicates an anterior wall MI involving the LAD artery.
Which enzyme is deficient in classic galactosemia?,Galactokinase,GALT,UDP-glucose pyrophosphorylase,Lactase,GALT,,Deficiency of galactose-1-phosphate uridyltransferase causes accumulation of galactitol leading to cataracts and liver failure.
A 60-year-old smoker presents with hematuria. Imaging shows a mass in the renal pelvis. Most likely diagnosis?,Renal cell carcinoma,Transitional cell carcinoma,Wilms tumor,Bladder cancer,Transitional cell carcinoma,https://raw.githubusercontent.com/saadancode/med-quiz/main/Opera%20Snapshot_2025-10-07.png,Transitional cell carcinoma is most common in the renal pelvis and bladder, especially in smokers.
Which cranial nerve is affected in Bell's palsy?,CN V,CN VII,CN IX,CN X,CN VII,https://raw.githubusercontent.com/saadancode/med-quiz/main/bellspalsy.png,Facial nerve (CN VII) palsy causes unilateral facial droop involving the forehead.
A patient presents with jaundice, dark urine, and pale stools. Labs show elevated direct bilirubin. What type of jaundice is this?,Pre-hepatic,Hepatic,Post-hepatic,Physiologic,Post-hepatic,,Post-hepatic (obstructive) jaundice leads to conjugated hyperbilirubinemia and pale stools.
Which vitamin deficiency causes night blindness?,Vitamin A,Vitamin B12,Vitamin D,Vitamin K,Vitamin A,,Vitamin A deficiency leads to impaired rhodopsin formation causing night blindness.
A 25-year-old presents with sudden-onset right lower quadrant abdominal pain. Ultrasound shows an enlarged appendix. Next best step?,CT scan,Appendectomy,Antibiotics,Observation,Appendectomy,,Appendectomy is definitive management for acute appendicitis.
Which heart murmur is heard best at the apex and radiates to the axilla?,Aortic stenosis,Mitral regurgitation,Tricuspid regurgitation,Pulmonic stenosis,Mitral regurgitation,,Mitral regurgitation radiates to the axilla and has a holosystolic murmur.
A 70-year-old man presents with progressive difficulty initiating movement, resting tremor, and shuffling gait. Most likely diagnosis?,Alzheimer’s,Parkinson’s,Huntington’s,Essential tremor,Parkinson’s,,Parkinson’s disease is caused by loss of dopaminergic neurons in the substantia nigra.
Which of the following is the primary neurotransmitter at the neuromuscular junction?,Dopamine,Acetylcholine,GABA,Glutamate,Acetylcholine,,Acetylcholine is the neurotransmitter that triggers skeletal muscle contraction.
